party,variable,value,value_label,respondents,total,pct
Nationalist Right,gender4,1,Man,5201.380982559448,9929.815116658294,0.5238144841018835
Nationalist Right,gender4,2,Woman,4690.140628709547,9929.815116658294,0.47232909914318044
Nationalist Right,gender4,3,Non-binary,17.73146009567555,9929.815116658294,0.001785678775220013
Nationalist Right,gender4,4,Other,20.562045293621335,9929.815116658294,0.0020707379797158935
Nationalist Right,race,1,White,8059.365868041318,9929.815116658283,0.8116330237126879
Nationalist Right,race,2,Black,433.4221943545336,9929.815116658283,0.04364856638946111
Nationalist Right,race,3,Hispanic,663.6087464393631,9929.815116658283,0.06682991965541145
Nationalist Right,race,4,Asian,212.2923129763724,9929.815116658283,0.02137928153568844
Nationalist Right,race,5,Native American,105.0278866809269,9929.815116658283,0.010577023383318774
Nationalist Right,race,6,2+ races,223.77562957449004,9929.815116658283,0.02253572971354557
Nationalist Right,race,7,Other,196.03417346193302,9929.815116658283,0.019741976175675777
Nationalist Right,race,8,Middle Eastern,36.28830512934508,9929.815116658283,0.0036544794342109888
Progressive Left,educ,1,No HS,174.35313068860097,8557.171914336312,0.020375087988649305
Progressive Left,educ,2,HS grad,1095.6000473053396,8557.171914336312,0.12803295975272147
Progressive Left,educ,3,Some college,1691.487020991185,8557.171914336312,0.19766893056774304
Progressive Left,educ,4,2-year,725.7925718753772,8557.171914336312,0.08481687397905564
Progressive Left,educ,5,4-year,2636.6374981699432,8557.171914336312,0.3081201972526269
Progressive Left,educ,6,Post-grad,2233.3016453058663,8557.171914336312,0.26098595045920375
Progressive Left,faminc_new,1,<10K,255.7458270465485,8557.171914336328,0.029886723044336955
Progressive Left,faminc_new,2,$10-20K,373.22146379314455,8557.171914336328,0.043615048000597595
Progressive Left,faminc_new,3,$20-30K,477.8626493983855,8557.171914336328,0.05584352566270106
Progressive Left,faminc_new,4,$30-40K,572.9662918976294,8557.171914336328,0.0669574361288343
Progressive Left,faminc_new,5,$40-50K,572.0845581084797,8557.171914336328,0.06685439580219642
Progressive Left,faminc_new,6,$50-60K,544.1792692547536,8557.171914336328,0.06359335475579946
Progressive Left,faminc_new,7,$60-70K,545.5528842806632,8557.171914336328,0.06375387683478308
Progressive Left,faminc_new,8,$70-80K,627.9603161780351,8557.171914336328,0.07338409493982195
Progressive Left,faminc_new,9,$80-100K,850.178839130375,8557.171914336328,0.09935278239601812
Progressive Left,faminc_new,10,$100-120K,748.8420046456977,8557.171914336328,0.08751045463877138
Progressive Left,faminc_new,11,$120-150K,838.0404706647498,8557.171914336328,0.09793428004651068
Progressive Left,faminc_new,12,$150-200K,736.5034378947497,8557.171914336328,0.08606855690965406
Progressive Left,faminc_new,13,$200-250K,351.483524804131,8557.171914336328,0.04107472986668296
Progressive Left,faminc_new,14,$250-350K,265.08215227459857,8557.171914336328,0.030977775710043995
Progressive Left,faminc_new,15,$350-500K,90.50174080582893,8557.171914336328,0.010576127453301026
Progressive Left,faminc_new,16,>500K,42.34881469876693,8557.171914336328,0.004948926482102983
