commonweight,age,party,gender4,educ,race,faminc_new
1.4412076939196,45,MAGA Right,Woman,HS grad,White,$40-50K
1.9143771148536,77,Progressive Left,Man,Some college,Black,$30-40K
1.74761053474137,26,Religious Moderates,Woman,HS grad,White,$60-70K
0.909101383396908,30,Progressive Left,Woman,4-year,White,$30-40K
1.82731526658397,59,Nationalist Right,Woman,Post-grad,2+ races,$60-70K
0.366085085004434,70,Progressive Left,Woman,Post-grad,Hispanic,$60-70K
0.00608807456352681,30,Moderate Left,Woman,Some college,Black,$50-60K
0.511409338108064,51,Traditional Right,Woman,HS grad,Asian,$40-50K
0.181159646723893,26,Religious Moderates,Woman,Some college,White,$40-50K
0.528683241375093,58,Traditional Right,Woman,HS grad,White,$150-200K
0.0627768148265724,35,Religious Moderates,Man,4-year,Hispanic,$50-60K
0.299018742182382,52,Faith-Based Conservatives,Woman,2-year,White,$60-70K
1.35541525638766,78,Nationalist Right,Man,HS grad,White,$80-100K
0.435806178973986,67,Secular Moderates,Man,2-year,White,$100-120K
0.783763917112422,37,Progressive Left,Woman,Post-grad,Asian,$120-150K
0.868101103118846,85,MAGA Right,Man,4-year,White,$50-60K
0.115785020752814,51,Moderate Left,Woman,Some college,White,$40-50K
0.48647229720842,67,Religious Moderates,Man,HS grad,White,$80-100K
0.637334375600335,52,Progressive Left,Woman,Some college,White,$40-50K
0.268591834575408,80,Moderate Left,Man,No HS,White,Prefer not to say
2.16402683004278,76,Religious Moderates,Woman,HS grad,White,$20-30K
0.575954669254512,64,Progressive Left,Woman,4-year,Other,$100-120K
2.5344429371772,27,Disillusioned Left,Woman,2-year,White,$50-60K
0.411011489710861,69,Moderate Left,Woman,Post-grad,White,$100-120K
0.240622191912554,24,Progressive Left,Man,Some college,Asian,$100-120K
1.55271030295934,56,Traditional Right,Man,4-year,Hispanic,$120-150K
0.355998908987212,24,Disillusioned Left,Woman,4-year,Hispanic,$120-150K
0.173696513209153,46,MAGA Right,Man,HS grad,White,$10-20K
2.00756726417419,28,Progressive Left,Man,Some college,White,$40-50K
3.9274279948546e-4,41,Traditional Right,Woman,HS grad,Black,Prefer not to say
3.26632717109061,44,Nationalist Right,Woman,Some college,White,<10K
0.172938703877954,43,Progressive Left,Non-binary,Some college,Hispanic,<10K
0.130534640833726,24,Secular Moderates,Woman,4-year,White,$150-200K
0.0744819025322549,32,Religious Moderates,Man,4-year,Black,$120-150K
1.31394059984283,77,Progressive Left,Woman,4-year,White,$40-50K
1.24451313724589,84,Religious Moderates,Woman,Post-grad,White,Prefer not to say
0.254525465174562,85,Moderate Left,Woman,Post-grad,White,$10-20K
1.23010925286393,78,Nationalist Right,Woman,Some college,Native American,$30-40K
